RC1_Adopted,RC2_Died,RC3_Residence_Order,RC4_Special_Guardianship_Order,RC5_Transfer_to_another_LA,RC6_Transfer_to_Adult_Social_Service,RC7_Other
32,c,c,46,89,38,2584
0,0,0,0,0,0,1863
45,c,c,12,78,10,1192
0,12,15,44,106,27,4188
c,c,0,c,10,c,123
0,0,0,0,0,0,1896
73,10,56,33,191,62,5331
35,c,0,c,74,22,3238
14,c,c,21,119,c,2812
0,8,0,6,0,0,1019
41,c,0,16,729,c,2765
10,c,0,c,24,13,1413
11,c,c,c,28,10,1329
51,c,c,86,102,48,2875
15,c,c,16,50,10,1990
29,c,c,14,49,12,896
30,c,0,18,100,c,1078
32,c,6,33,47,12,2220
17,c,13,c,131,7,1567
24,c,c,11,82,22,2449
15,c,c,12,41,21,845
44,10,c,21,84,30,2112
8,c,c,9,41,17,752
30,11,18,20,124,8,2413
32,7,11,11,152,70,3115
28,7,0,10,83,12,1552
45,12,10,27,107,21,4017
18,c,0,16,48,c,1191
9,c,0,c,56,15,990
51,12,0,32,81,24,3373
12,c,0,c,105,17,1254
c,c,0,c,33,c,760
0,0,0,0,0,0,2775
25,c,c,19,169,31,3701
c,14,c,16,73,30,2904
38,23,c,26,75,c,20708
12,c,c,0,c,0,2636
77,c,c,70,966,161,9901
9,14,c,c,13,23,2898
24,c,0,17,62,29,1781
32,11,8,14,104,39,2813
17,12,c,12,36,c,3475
16,c,0,0,82,21,1244
12,c,0,c,120,16,1511
0,0,0,0,6,0,2655
31,9,22,43,351,76,3029
c,0,0,c,15,8,1289
45,c,c,54,130,87,3862
c,0,c,c,34,0,791
c,0,0,c,29,c,636
18,c,0,c,c,10,524
48,7,13,18,49,22,3953
16,c,c,31,33,14,1559
12,11,8,34,52,15,4494
25,7,14,53,85,17,2829
14,6,12,26,80,12,1423
33,18,c,40,107,c,3338
0,0,0,0,0,c,c
12,c,0,c,18,10,631
20,c,0,8,7,c,1606
15,c,c,33,23,10,2505
52,0,c,c,0,0,852
15,c,c,9,27,c,1417
27,c,c,13,75,17,1582
16,c,c,17,41,10,1788
c,7,c,18,78,39,1437
0,0,0,0,c,c,25
x,x,x,x,x,x,x
c,c,0,6,61,13,808
c,0,0,c,136,19,1712
c,c,0,13,78,17,1299
c,c,0,c,82,9,1120
c,c,0,10,139,c,1098
c,c,0,14,147,24,1627
18,c,c,20,264,24,2823
8,10,6,20,236,16,1345
c,c,0,12,155,8,3524
0,0,0,0,c,c,1758
c,c,0,c,61,c,419
14,c,c,14,145,7,2794
7,c,207,c,95,11,1618
6,c,c,13,112,17,1373
0,c,0,18,111,c,2782
c,c,0,11,146,25,1180
c,10,c,35,266,37,3086
c,6,6,c,107,8,1558
c,c,0,22,146,43,2720
c,6,c,23,65,25,1026
c,c,0,14,140,29,1566
c,c,c,c,86,8,2007
c,c,0,0,168,19,1597
c,c,0,c,10,9,2350
c,c,0,c,51,9,742
c,c,c,9,84,10,1010
c,c,0,8,156,32,2134
6,c,0,c,40,11,691
14,c,0,c,14,0,1063
c,c,0,20,124,10,2213
68,7,38,59,88,28,2845
c,c,7,18,14,8,419
16,0,c,16,37,c,481
c,c,0,19,42,7,1250
24,c,c,44,124,23,2318
27,c,0,47,38,c,1046
c,c,0,0,41,14,870
20,c,c,17,29,17,1548
